"05+3079";"COCINA PICCOLA - CON ACCESORIOS";0.00;24.00;77551.8500;129300.0000;0.00;"7797161030795";"";"11-04-04";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00
"06+201";"DAMAS";11.00;24.00;9108.0000;14100.0000;11.00;"7796133002013";"";"09-05-03 13-0";0.00;3.00;1.00;1.00;1.00;2.00;1.00;4.00;1.00
"06+202";"AJEDREZ";0.00;24.00;9108.0000;14100.0000;0.00;"7796133002020";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"06+203";"AJEDREZ Y DAMAS COMBINADO";0.00;24.00;10350.0000;16000.0000;-1.00;"7796133002037";"";"09-05-03 13-0";0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
"06+204";"LUDO Y DAMAS";0.00;24.00;10350.0000;16000.0000;0.00;"7796133002044";"";"09-05-03 13-0";0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;3.00
"06+205";"RULETA GOLD";5.00;24.00;14490.0000;22400.0000;5.00;"7796133002051";"";"09-05-03 13-0";0.00;2.00;3.00;1.00;1.00;1.00;2.00;2.00;2.00
"06+206";"ROYAL LUDO";0.00;24.00;9108.0000;14100.0000;0.00;"7796133002068";"";" 13-02-01";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"06+208";"JUEGO DE LA OCA";0.00;24.00;9108.0000;14100.0000;0.00;"7796133002082";"";"09-05-03 13-0";0.00;0.00;0.00;2.00;0.00;0.00;1.00;0.00;0.00
"06+212";"LOTERIA 48 CARTONES";0.00;24.00;12282.0000;19000.0000;0.00;"7796133002129";"";"09-05-03 13-0";0.00;1.00;2.00;0.00;1.00;0.00;0.00;1.00;3.00
"06+213";"BINGO 96 CARTONES";0.00;24.00;14490.0000;22400.0000;0.00;"7796133002136";"";"09-05-03 13-0";0.00;0.00;0.00;0.00;1.00;1.00;0.00;2.00;0.00
"06+154";"AJEDREZ ESCOLAR CON TABLERO 40X40CM-PLASTIGAL";0.00;24.00;24840.0000;38300.0000;0.00;"7796133001542";"";" 13-02-01";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"06+153";"DAMAS SUPER 35MM CON TABLERO";0.00;24.00;15870.0000;24500.0000;0.00;"7796133001535";"";"09-05-03 13-0";0.00;1.00;2.00;1.00;1.00;0.00;2.00;3.00;1.00
"06+160";"AJEDREZ PROFES STAUTON C/TABLERO 50X50 CM";0.00;24.00;50922.0000;78600.0000;0.00;"7796133001603";"7796133001603";"09-04-01 13-0";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00
"06+500";"TABLERO AJEDREZ 40 X 40-PLASTIGAL";0.00;24.00;10902.0000;16900.0000;0.00;"10000073";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"06+600";"MEMO ANIMALITOS JUEGO DE MEMORIA VISUAL";0.00;24.00;7314.0000;11300.0000;0.00;"7796133006004";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"06+601";"MEMORY PRINCESAS JUEGO DE MEMORIA VISUAL";0.00;24.00;7314.0000;11300.0000;0.00;"7796133006011";"";"09-05-02";0.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;1.00
"06+602";"DOMINO ANIMALITOS - COLECCION DIDAKTA";0.00;24.00;7314.0000;11300.0000;0.00;"7796133006028";"";"09-05-02";0.00;0.00;0.00;0.00;0.00;-1.00;0.00;1.00;0.00
"06+603";"DOMINO DINO - COLECCION DIDAKTA";0.00;24.00;7314.0000;11300.0000;0.00;"7796133006035";"";"09-05-02";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"06+604";"MEMORY ASOCIANDO LETRAS - COLECCION DIDAKTA";2.00;24.00;7314.0000;11300.0000;2.00;"7796133006042";"";"09-05-02";0.00;5.00;0.00;2.00;0.00;3.00;0.00;1.00;0.00
"06+605";"MEMO FRUTAS";0.00;24.00;7314.0000;11300.0000;0.00;"7796133006059";"";"09-05-02 13-0";0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00
"06+101";"PALITOS CHINOS";3.00;24.00;2139.0000;3300.0000;3.00;"7796133001016";"";"09-05-03 12-0";0.00;2.00;1.00;2.00;0.00;2.00;1.00;0.00;3.00
"06+320";"DOMINO CLASICO";0.00;24.00;11454.0000;17700.0000;0.00;"7796133003201";"";" 13-02-01";0.00;1.00;0.00;0.00;1.00;1.00;1.00;1.00;0.00
"06+321";"DOMINO MULTICOLOR";0.00;24.00;11454.0000;17700.0000;0.00;"7796133003218";"";" 13-02-01";0.00;4.00;0.00;0.00;0.00;2.00;1.00;1.00;2.00
"06+501";"TABLERO DE AJEDREZ 50 X 50-PLASTIGAL";0.00;24.00;15870.0000;24500.0000;0.00;"10000085";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"06+502";"TABLERO DE AJEDREZ 50 X 50 GRUESO-PLASTIGAL";0.00;24.00;11454.0000;17700.0000;0.00;"10000086";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"06+102";"BS AS PERINOLA DE UREA-PLASTIGAL";0.00;24.00;2070.0000;3200.0000;0.00;"10000087";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"06+2298";"KIT GENERALA + NAIPES X 50 PLASTIFICADOS-PLASTIGAL";0.00;24.00;3643.5600;5700.0000;0.00;"7796133022981";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"06+99";"GENERALA CUBILETE PLASTICO ESTUCHE CARTU";0.00;24.00;2484.0000;3900.0000;0.00;"7796133000996";"";"09-05-03";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
